p=2,,,,,,,
q=3,,,,w1,1.369961336,,
,,,,w2,-0.373131519,MSE,41.55679039
Date,Y,Y(t-1),Y(t-2),Predict_AR,Err,Predict_MA,Predict
3/1/1999,91.0236,91.4671,102.4467,87.08029774,-3.943302258,-0.805174763,86.27512298
4/1/1999,80.7497,91.0236,91.4671,90.56955471,9.819854714,1.226427654,91.79598237
5/1/1999,79.6373,80.7497,91.0236,76.66019277,-2.977107227,6.815374775,83.47556755
6/1/1999,88.1204,79.6373,80.7497,78.96976369,-9.150636306,0.966481743,79.93624544
7/1/1999,97.7757,88.1204,79.6373,91.00635421,-6.769345795,-0.769296273,90.23705793
8/1/1999,96.7014,97.7757,88.1204,101.0684299,4.367029905,-6.299029776,94.76940013
9/1/1999,87.4885,96.7014,97.7757,95.99398369,8.505483688,-3.850984065,92.14299962
10/1/1999,80.8647,87.4885,96.7014,83.77352209,2.908822086,2.034389266,85.80791135
11/1/1999,82.4395,80.8647,87.4885,78.13679556,-4.302704441,5.260445226,83.39724078
12/1/1999,94.7746,82.4395,80.8647,82.76575923,-12.00884077,2.370533777,85.136293
1/1/2000,102.4971,94.7746,82.4395,99.07676179,-3.420338215,-4.467574377,94.60918741
2/1/2000,94.5218,102.4971,94.7746,105.0536736,10.5318736,-6.577294477,98.47637913
3/1/2000,88.3463,94.5218,102.4971,91.24631281,2.900012806,-1.632435129,89.61387768
4/1/2000,81.6662,88.3463,94.5218,85.76195238,4.095752378,3.337182732,89.09913511
5/1/2000,84.7235,81.6662,88.3463,78.91474735,-5.808752647,5.842546263,84.75729362
6/1/2000,91.3293,84.7235,81.6662,85.595686,-5.733613996,0.395670846,85.99135685
7/1/2000,96.3011,91.3293,84.7235,93.50460161,-2.796498395,-2.482204755,91.02239685
8/1/2000,99.6734,96.3011,91.3293,97.85094319,-1.822456812,-4.779621679,93.07132151
9/1/2000,90.9515,99.6734,96.3011,100.6157285,9.664228516,-3.450856401,97.16487212
